Stemmed User Reviews,Labels
"[('fast', 'RB'), ('furiou', 'JJ'), ('6', 'CD'), ('best', 'JJS'), ('film', 'NN'), ('franchis', 'NN'), ('love', 'NN'), ('death', 'NN')]",1
"[('build', 'VB'), ('upon', 'IN'), ('win', 'JJ'), ('blockbust', 'JJ'), ('formula', 'NN'), ('fast', 'RB'), ('five', 'CD')]",1
"[('vehicular', 'NN'), ('warfar', 'NN')]",1
"[('beastli', 'NN')]",1
"[('hail', 'NN'), ('hail', 'NN'), ('gang', 'NN'), ('s', 'VBD'), ('minu', 'CD'), ('one', 'CD')]",1
"[('fast', 'RB'), ('furiou', 'JJ'), ('6', 'CD')]",1
"[('brainless', 'NN'), ('overr', 'NN'), ('longest', 'JJS'), ('takeoff', 'NN'), ('strip', 'NN'), ('world', 'NN')]",-1
"[('pretti', 'NNS'), ('ace', 'VBP'), ('film', 'NN')]",1
"[('big', 'JJ'), ('movi', 'NN'), ('fun', 'NN'), ('time', 'NN')]",1
"[('movin', 'NN')]",1
"[('inde', 'NN'), ('guy', 'NN'), ('s', 'NN'), ('movi', 'NN')]",0
"[('bold', 'JJ'), ('imagin', 'NN'), ('beauti', 'NN'), ('execut', 'VBD'), ('exhilar', 'JJ'), ('car', 'NN'), ('chase', 'NN'), ('ever', 'RB'), ('done', 'VBN'), ('film', 'NN'), ('make', 'VBP'), ('unequivoc', 'JJ'), ('franchis', 'NN'), ('best', 'JJS'), ('thu', 'NN'), ('far', 'RB')]",1
"[('nt', 'JJ'), ('get', 'VB'), ('previou', 'JJ'), ('instal', 'JJ'), ('well', 'RB'), ('receiv', 'JJ'), ('re', 'NN'), ('utterli', 'JJ'), ('stupid', 'JJ')]",-1
"[('pure', 'NN'), ('entertain', 'NN')]",1
"[('fast', 'RB'), ('car', 'NN'), ('tank', 'NN'), ('plane', 'NN'), ('oh', 'NN')]",1
"[('incred', 'JJ'), ('thoroughli', 'NN'), ('enjoy', 'NN')]",1
"[('whole', 'JJ'), ('new', 'JJ'), ('stratospher', 'JJR'), ('action', 'NN'), ('f', 'NN'), ('f6', 'JJ'), ('start', 'NN'), ('separ', 'NN'), ('junki', 'NN'), ('need', 'VBP'), ('substanc', 'NN')]",1
"[('physic', 'JJ'), ('defi', 'NN'), ('entertain', 'NN')]",1
"[('amazingli', 'NN'), ('faster', 'RBR'), ('furiou', 'NN'), ('ever', 'RB')]",1
"[('thrill', 'VB'), ('ride', 'VB'), ('par', 'JJ'), ('excel', 'NN')]",1
"[('action', 'NN'), ('franchis', 'NN'), ('nt', 'NN'), ('ga', 'NN'), ('yet', 'RB')]",1
"[('idl', 'NN'), ('furiou', 'NNS'), ('need', 'VBP'), ('tuneup', 'NN')]",-1
"[('number', 'NN'), ('6', 'CD'), ('winner', 'NN')]",1
"[('life', 'NN'), ('speed', 'NN'), ('famili', 'VBP'), ('two', 'CD'), ('best', 'JJS'), ('thing', 'NN')]",1
"[('ok', 'NN')]",0
"[('ok', 'JJ'), ('ll', 'NN'), ('confess', 'NN'), ('movi', 'NN'), ('definit', 'VBP'), ('junk', 'NN'), ('food', 'NN'), ('mind', 'NN'), ('like', 'IN'), ('eat', 'NN'), ('twinki', 'JJ'), ('fun', 'NN'), ('watch', 'NN')]",0
"[('small', 'JJ'), ('movi', 'NN'), ('big', 'JJ'), ('heart', 'NN'), ('highli', 'NN'), ('underr', 'NN')]",1
"[('flaw', 'NN'), ('fun', 'NN')]",1
"[('underr', 'NN')]",1
"[('thought', 'VBN'), ('decent', 'NN')]",0
"[('well', 'RB'), ('made', 'VBN'), ('action', 'NN'), ('movi', 'FW'), ('air', 'NN'), ('mystiqu', 'NN')]",1
"[('loner', 'NN'), ('assassin', 'JJ'), ('face', 'NN'), ('supernatur', 'NN'), ('warrior', 'JJ'), ('impress', 'NN'), ('fight', 'NN'), ('breathtak', 'NN'), ('action', 'NN')]",1
"[('star', 'NN'), ('jennif', 'NN'), ('garner', 'NN'), ('make', 'VBP'), ('worthwhil', 'NN')]",1
"[('lusciou', 'NN'), ('ladi', 'NN'), ('red', 'VBD')]",0
"[('noth', 'DT'), ('valu', 'FW'), ('pretti', 'RB'), ('much', 'JJ'), ('templat', 'NNS'), ('make', 'VBP'), ('bad', 'JJ'), ('actionsuperhero', 'NN'), ('movi', 'NN')]",0
"[('insan', 'JJ'), ('fun', 'NN'), ('entic', 'JJ'), ('movi', 'NN')]",1
"[('intens', 'NNS')]",1
"[('superb', 'NN'), ('difficult', 'JJ'), ('comic', 'JJ'), ('book', 'NN'), ('film', 'NN')]",1
"[('jennif', 'NN'), ('garner', 'NN'), ('spectacular', 'JJ'), ('elektra', 'JJ'), ('bob', 'NN'), ('sapp', 'NN'), ('rule', 'NN')]",1
"[('better', 'RBR'), ('expect', 'VB')]",1
"[('second', 'JJ'), ('life', 'NN'), ('second', 'JJ'), ('chanc', 'NN')]",1
"[('great', 'JJ'), ('entertain', 'NN'), ('film', 'NN')]",1
"[('mess', 'NN')]",-1
"[('poor', 'JJ'), ('man', 'NN'), ('s', 'VBZ'), ('daredevil', 'JJ')]",1
"[('boy', 'NN'), ('s', 'JJ'), ('ponder', 'NN'), ('take', 'VB'), ('girl', 'NN'), ('power', 'NN')]",0
"[('weak', 'JJ'), ('vehicl', 'NN')]",-1
"[('electra', 'NNS'), ('know', 'VBP')]",-1
"[('specialeffect', 'JJ'), ('extravaganza', 'VBZ'), ('lack', 'NN'), ('stori', 'JJ'), ('charact', 'NN'), ('develop', 'VB'), ('visual', 'JJ'), ('stun', 'NN'), ('surreal', 'NN'), ('atmospher', 'RB'), ('terrif', 'JJ'), ('action', 'NN'), ('sequenc', 'NN'), ('thumb', 'NN')]",-1
"[('everyon', 'JJ'), ('look', 'NN'), ('pain', 'NN')]",-1
"[('ok', 'NN'), ('film', 'NN')]",0
"[('eye', 'NN'), ('candi', 'NN'), ('nobrain', 'JJ'), ('fun', 'NN'), ('watch', 'NN')]",1
"[('s', 'NN'), ('fun', 'NN')]",1
"[('music', 'NN'), ('video', 'NN'), ('entertain', 'NN')]",-1
"[('highspirit', 'NN'), ('infecti', 'NN'), ('ridicul', 'NN')]",1
"[('golden', 'JJ'), ('turkey', 'NN'), ('award', 'NN'), ('nomin', 'NN')]",-1
"[('silli', 'NN'), ('quit', 'NN'), ('enjoy', 'VBP'), ('re', 'NN'), ('mood', 'NN')]",0
"[('charli', 'NN'), ('would', 'MD'), ('approv', 'VB')]",1
"[('angel', 'NN'), ('conclud', 'NN'), ('broadcast', 'NN'), ('day', 'NN')]",1
"[('solid', 'JJ'), ('fun', 'NN')]",1
"[('simpli', 'NN'), ('brilliantli', 'NN'), ('silli', 'NN'), ('fun', 'NN'), ('make', 'VBP'), ('smile', 'JJ'), ('everi', 'JJ'), ('time', 'NN'), ('watch', 'NN')]",1
"[('chad', 'NN')]",1
"[('plain', 'NN'), ('fun', 'NN')]",1
"[('enjoy', 'NN'), ('movi', 'NN'), ('also', 'RB'), ('littl', 'VBZ'), ('silli', 'NN')]",0
"[('fun', 'NN'), ('movi', 'NN'), ('base', 'NN'), ('1970', 'CD'), ('show', 'NN')]",1
"[('angel', 'NN'), ('fallen', 'VBN'), ('big', 'JJ'), ('time', 'NN')]",-1
"[('entertain', 'NN'), ('fluff', 'NN')]",0
"[('s', 'RB'), ('hard', 'JJ'), ('like', 'IN'), ('girl', 'NN')]",1
"[('ravish', 'JJ'), ('lethal', 'NN'), ('detect', 'NN'), ('rescu', 'NN'), ('stolen', 'VBN'), ('softwar', 'NN')]",1
"[('annoy', 'NN'), ('music', 'NN'), ('video', 'NN'), ('girl', 'NN'), ('power', 'NN'), ('nt', 'NNS'), ('make', 'VBP'), ('laugh', 'JJ'), ('cri', 'NN')]",-1
"[('enjoy', 'NN'), ('piec', 'NN'), ('fluff', 'NN')]",0
"[('charli', 'NN'), ('s', 'NN'), ('angel', 'NN')]",0
"[('slick', 'JJ'), ('enjoy', 'NN'), ('fast', 'JJ'), ('pace', 'NN'), ('hilari', 'NN'), ('action', 'NN'), ('movi', 'NN')]",1
"[('shame', 'NN'), ('mcg', 'NN')]",-1
"[('good', 'JJ'), ('cheesi', 'NN'), ('fun', 'NN')]",1
"[('continu', 'NN'), ('charact', 'NN'), ('s', 'JJ'), ('stori', 'JJ'), ('lightheart', 'NN'), ('manner', 'NN'), ('previou', 'NN'), ('film', 'NN')]",0
"[('fun', 'NN'), ('fun', 'NN'), ('fun', 'NN')]",1
"[('intrigu', 'NN'), ('adventur', 'NN'), ('still', 'RB'), ('miss', 'JJ'), ('littl', 'NN'), ('someth', 'NN')]",1
"[('netflix', 'NN')]",1
"[('ordinari', 'JJ'), ('noth', 'DT'), ('extra', 'JJ')]",0
"[('great', 'JJ'), ('sequel', 'NN')]",1
"[('enjoy', 'VB'), ('sequel', 'NN'), ('much', 'JJ'), ('fun', 'NN'), ('origin', 'NN')]",1
"[('thoroughli', 'NN'), ('enjoy', 'NN'), ('caper', 'NN')]",1
"[('strike', 'NN'), ('chord', 'NN')]",1
"[('second', 'JJ'), ('vers', 'NNS'), ('first', 'RB')]",0
"[('anoth', 'DT'), ('enjoy', 'VBP'), ('enola', 'JJ'), ('tale', 'NN')]",1
"[('2', 'CD'), ('year', 'NN'), ('later', 'RB')]",0
"[('par', 'NN'), ('origin', 'NN')]",1
"[('love', 'NN'), ('enola', 'NN')]",1
"[('new', 'JJ'), ('investig', 'NN'), ('elona', 'NN'), ('holm', 'NN')]",0
"[('awkward', 'RB'), ('sociopolit', 'NN'), ('cring', 'VBG')]",-1
"[('forgot', 'NN'), ('concept', 'NN'), ('stori', 'NN')]",-1
"[('bore', 'NN'), ('mediocr', 'NN')]",-1
"[('great', 'JJ'), ('film', 'NN')]",1
"[('keep', 'VB'), ('come', 'NN')]",1
"[('adventur', 'NN'), ('fun', 'NN')]",1
"[('enola', 'NN'), ('holm', 'VBZ'), ('2', 'CD'), ('surpass', 'NN'), ('origin', 'NN')]",1
"[('enola', 'NN'), ('back', 'RB')]",1
"[('thrill', 'NN'), ('triumphant', 'NN'), ('sequel', 'NN')]",1
"[('milli', 'RB'), ('usual', 'JJ'), ('good', 'JJ'), ('job', 'NN'), ('transfix', 'NNS'), ('viewer', 'VBP'), ('keep', 'VB'), ('entertain', 'NN')]",1
"[('enjoy', 'JJ'), ('re', 'VB'), ('watch', 'NN'), ('much', 'RB'), ('make', 'VB'), ('sens', 'NNS')]",0
"[('turn', 'NN'), ('bond', 'NN')]",0
"[('still', 'RB'), ('good', 'JJ'), ('good', 'NN')]",0
"[('bit', 'NN'), ('mess', 'NN')]",-1
"[('hate', 'NN'), ('movi', 'NNS'), ('let', 'VBP'), ('count', 'VB'), ('way', 'NN')]",-1
"[('monument', 'NN'), ('stupid', 'NN')]",-1
"[('girl', 'NN'), ('bore', 'NN'), ('web', 'NN')]",-1
"[('watchabl', 'NN'), ('shallow', 'VB'), ('spinoff', 'NN')]",0
"[('lisbeth', 'JJ'), ('saland', 'NN'), ('righter', 'NN'), ('wrong', 'JJ'), ('girl', 'NN'), ('dragon', 'NN'), ('tattoo', 'NN')]",0
"[('lisbeth', 'JJ'), ('saland', 'NN'), ('action', 'NN'), ('hero', 'NN')]",-1
"[('tangl', 'NN'), ('spider', 'NN'), ('s', 'NN'), ('web', 'NN')]",-1
"[('girl', 'NN'), ('meh', 'NN'), ('movi', 'NN')]",-1
"[('clair', 'NN'), ('foy', 'NN'), ('lisbeth', 'CD'), ('saland', 'NN')]",0
"[('quit', 'NN'), ('swedish', 'JJ'), ('qualiti', 'NN')]",-1
"[('standard', 'JJ'), ('action', 'NN'), ('movi', 'NN')]",0
"[('realli', 'NN'), ('aw', 'NN'), ('deriv', 'NN'), ('movi', 'NN'), ('sjw', 'NN'), ('superhero', 'NN')]",-1
"[('visual', 'JJ'), ('entertain', 'NN'), ('direct', 'JJ'), ('lack', 'NN'), ('plot', 'NN'), ('darker', 'NN'), ('tone', 'NN'), ('dragon', 'NN'), ('tattoo', 'NN'), ('movi', 'NN')]",0
"[('stori', 'NN'), ('oh', 'UH'), ('predict', 'NN')]",-1
"[('insult', 'NN'), ('millennium', 'NN'), ('seri', 'NN')]",-1
"[('anoth', 'JJ'), ('american', 'JJ'), ('miss', 'NN')]",-1
"[('aw', 'NN'), ('movi', 'NN')]",-1
"[('disappoint', 'NN')]",-1
"[('get', 'VB'), ('stuck', 'JJ')]",-1
"[('enough', 'RB'), ('alreadi', 'NN')]",0
"[('bad', 'JJ')]",0
"[('third', 'JJ'), ('worst', 'JJS'), ('langdonhanksbrownhoward', 'NN'), ('film', 'NN')]",-1
"[('dazzl', 'NN'), ('confus', 'NN')]",-1
"[('piti', 'NN'), ('anyon', 'NN'), ('paid', 'VBD'), ('cinema', 'JJ'), ('price', 'NN'), ('absurd', 'NNS'), ('turkey', 'NN')]",-1
"[('nation', 'NN'), ('treasur', 'NN'), ('better', 'RBR'), ('movi', 'NN')]",-1
"[('like', 'IN'), ('bad', 'JJ'), ('tv', 'NN'), ('version', 'NN'), ('da', 'NN'), ('vinci', 'NN'), ('code', 'NN')]",-1
"[('product', 'NN'), ('interfer', 'NN'), ('ruin', 'JJ'), ('end', 'NN')]",-1
[],0
"[('empti', 'NN'), ('calori', 'NN'), ('mainli', 'NN'), ('due', 'JJ'), ('poor', 'JJ'), ('direct', 'JJ')]",-1
"[('disappoint', 'NN'), ('predict', 'NN'), ('stori', 'NN')]",-1
"[('messi', 'NN'), ('weak', 'JJ'), ('lack', 'NN'), ('seriou', 'JJ'), ('impact', 'NN'), ('seriou', 'NN'), ('crisi', 'NN')]",-1
"[('wast', 'NN'), ('opportun', 'NN')]",-1
"[('careerlow', 'NN'), ('involv', 'NN')]",-1
"[('would', 'MD'), ('chang', 'VB'), ('end', 'NN'), ('best', 'JJS'), ('part', 'NN'), ('book', 'NN')]",-1
"[('nt', 'JJ'), ('watch', 'NN'), ('read', 'VBD'), ('book', 'NN')]",-1
"[('sadli', 'JJ'), ('disappoint', 'NN'), ('hollow', 'NN'), ('remnant', 'NN'), ('franchis', 'NN')]",-1
"[('good', 'JJ'), ('exampl', 'NN'), ('bad', 'JJ'), ('product', 'NN')]",-1
"[('good', 'JJ'), ('peopl', 'NN'), ('stori', 'VBD'), ('money', 'NN'), ('5', 'CD'), ('stori', 'NN'), ('adapt', 'NN')]",-1
"[('turkey', 'JJ'), ('year', 'NN')]",-1
"[('mysteri', 'NNS'), ('thriller', 'NN'), ('set', 'VBN'), ('florenc', 'JJ'), ('venic', 'JJ'), ('istanbul', 'NN'), ('plenti', 'NN'), ('suspens', 'NNS'), ('twist', 'VBP'), ('turn', 'NN')]",1
"[('good', 'JJ'), ('forgett', 'NN'), ('read', 'VBP'), ('book', 'NN'), ('vs', 'NN')]",0
"[('disappoint', 'NN'), ('chang', 'NNS'), ('end', 'VBP')]",-1
"[('long', 'RB'), ('wast', 'JJ'), ('time', 'NN')]",-1
"[('ron', 'NN'), ('howard', 'NN'), ('s', 'NN'), ('inferno', 'NN')]",-1
"[('total', 'JJ'), ('disappoint', 'NN')]",-1
"[('expect', 'VB')]",0
"[('drown', 'JJ'), ('weight', 'VBD'), ('cryptic', 'JJ'), ('dialogu', 'NN'), ('abstract', 'JJ'), ('storytel', 'NN')]",-1
"[('perhap', 'NN'), ('scott', 'NN'), ('s', 'NN'), ('underr', 'NN'), ('film', 'NN')]",1
"[('one', 'CD'), ('counsel', 'NN')]",0
"[('one', 'CD'), ('greatest', 'JJS'), ('moral', 'JJ'), ('play', 'NN'), ('time', 'NN')]",1
"[('m', 'NN'), ('contrarian', 'NN')]",-1
"[('counselor', 'NN'), ('love', 'VB'), ('give', 'JJ'), ('one', 'CD'), ('els', 'VBZ'), ('reason', 'NN'), ('love', 'VB'), ('let', 'NN'), ('alon', 'NN'), ('care', 'NN')]",-1
"[('ca', 'MD'), ('nt', 'VB'), ('believ', 'NN'), ('crime', 'NN'), ('thriller', 'NN'), ('bore', 'NN')]",-1
"[('judg', 'NN')]",0
"[('wow', 'NN')]",1
"[('stop', 'VB'), ('cormac', 'NN'), ('ridley', 'NN'), ('cameron', 'NN'), ('could', 'MD')]",-1
"[('charact', 'NN'), ('compel', 'NN'), ('interest', 'NN')]",-1
"[('poorlyscript', 'JJ'), ('drug', 'NN'), ('traffick', 'NN'), ('drama', 'NN')]",-1
"[('convolut', 'JJ'), ('equal', 'JJ'), ('complex', 'NN')]",-1
"[('counsel', 'NN'), ('counselor', 'NN')]",0
"[('disappoint', 'NN'), ('neonoir', 'NN'), ('ridley', 'NN'), ('scott', 'NN'), ('cormac', 'NN'), ('mccarthi', 'NN')]",-1
"[('counselor', 'NN'), ('shakespearean', 'JJ'), ('tragedi', 'NN'), ('greed', 'NN'), ('desper', 'NN')]",-1
"[('disappoint', 'NN'), ('limit', 'NN'), ('word', 'NN')]",-1
"[('new', 'JJ'), ('level', 'NN'), ('sinist', 'NN')]",-1
"[('counselor', 'NN'), ('prove', 'VB'), ('talent', 'NN'), ('peopl', 'NN'), ('produc', 'NN'), ('horrend', 'NN'), ('mess', 'NN')]",-1
"[('evil', 'JJ'), ('audaci', 'NN')]",-1
"[('might', 'MD'), ('monologu', 'VB')]",1
"[('dark', 'JJ'), ('bleak', 'NN'), ('masterpiec', 'NN'), ('predat', 'NN'), ('1010', 'CD')]",1
"[('dead', 'JJ'), ('bore', 'NN'), ('first', 'RB'), ('hour', 'NN'), ('impress', 'JJ'), ('end', 'NN')]",0
"[('absolut', 'NN'), ('brilliant', 'NN')]",1
"[('whackedout', 'IN'), ('comedi', 'NN'), ('lot', 'NN'), ('laugh', 'IN')]",1
"[('tight', 'NN'), ('like', 'IN'), ('tiger', 'NN')]",1
"[('weakest', 'JJS'), ('seri', 'NN'), ('myer', 'NN'), ('still', 'RB'), ('mojo', 'VB')]",-1
"[('austin', 'NN'), ('s', 'NN'), ('anatomi', 'NN')]",0
"[('good', 'JJ'), ('second', 'NN')]",0
"[('everyth', 'NNS'), ('love', 'VBP')]",1
"[('gold', 'NN'), ('littl', 'NN'), ('tarnish', 'NN')]",-1
"[('still', 'RB'), ('good', 'JJ'), ('time', 'NN'), ('waster', 'NN')]",0
"[('love', 'NN'), ('gold', 'NN')]",0
"[('austin', 'NN'), ('powersmik', 'NN'), ('meyer', 'NN'), ('back', 'RB'), ('along', 'RB'), ('hilari', 'JJ'), ('new', 'JJ'), ('charact', 'NN')]",1
"[('wildli', 'NN'), ('hitormiss', 'NN')]",0
"[('tarnish', 'JJ'), ('goldmemb', 'NN'), ('still', 'RB'), ('shine', 'VB')]",1
"[('like', 'IN'), ('goooooooold', 'JJ'), ('member', 'NN')]",1
"[('myer', 'NN'), ('excel', 'NN'), ('job', 'NN'), ('differ', 'VBP'), ('charact', 'NN')]",1
"[('still', 'RB'), ('retain', 'VB'), ('humour', 'JJ'), ('somehow', 'NN'), ('contain', 'NN'), ('less', 'RBR'), ('content', 'JJ')]",0
"[('third', 'JJ'), ('time', 'NN'), ('s', 'JJ'), ('golden', 'JJ'), ('babi', 'NN')]",0
"[('goldmemb', 'NN'), ('pretti', 'NNS'), ('good', 'JJ')]",1
"[('ok', 'NN'), ('worst', 'JJS'), ('three', 'CD')]",0
"[('anoth', 'DT'), ('great', 'JJ'), ('spoof', 'NN'), ('movi', 'NN')]",1
"[('buffooneri', 'NN'), ('goldfing', 'VBG')]",0
"[('crazi', 'NN'), ('plot', 'NN')]",1
"[('note', 'NN')]",0
"[('goldmemb', 'NN')]",1
"[('funni', 'NN')]",1
"[('myer', 'NN'), ('geniu', 'NN')]",1
"[('yeah', 'RB'), ('babi', 'VBZ'), ('one', 'CD'), ('funniest', 'NN'), ('friggin', 'NN'), ('movi', 'NN'), ('time', 'NN')]",1
"[('mr', 'NN'), ('mojo', 'NNS'), ('rise', 'NN')]",1
"[('slightli', 'NN'), ('better', 'RBR'), ('first', 'RB')]",1
"[('wonder', 'NN'), ('sequel', 'NN')]",1
"[('recycl', 'NN'), ('old', 'JJ'), ('humor', 'NN'), ('still', 'RB'), ('fun', 'VB')]",1
"[('better', 'JJR'), ('first', 'JJ'), ('one', 'NN')]",1
"[('inevit', 'NN'), ('cheeki', 'NN'), ('myer', 'NN')]",1
"[('austin', 'JJ'), ('power', 'NN'), ('spi', 'NN'), ('shag', 'NN')]",0
"[('hilari', 'NN'), ('timewast', 'NN')]",0
"[('film', 'NN'), ('buff', 'NN'), ('like', 'IN')]",1
"[('scott', 'NN'), ('dr', 'NN'), ('evil', 'NN')]",1
"[('man', 'NN'), ('golden', 'JJ'), ('pun', 'NN')]",0
"[('one', 'CD'), ('funniest', 'JJS'), ('sequel', 'NN'), ('ever', 'RB'), ('made', 'VBD')]",1
"[('superior', 'JJ'), ('sequel', 'NN')]",1
"[('mostli', 'RB'), ('good', 'JJ'), ('one', 'CD'), ('scene', 'NN'), ('unnecessari', 'NN')]",0
"[('funni', 'NN'), ('nasti', 'JJ'), ('rrate', 'NN'), ('look', 'NN'), ('stupid', 'JJ'), ('60', 'CD')]",0
"[('inferior', 'JJ'), ('sequel', 'NN'), ('success', 'NN'), ('lack', 'NN'), ('dri', 'NN'), ('wit', 'NN'), ('predecessor', 'NN')]",1
"[('still', 'RB'), ('funni', 'JJ'), ('lot', 'NN'), ('recycl', 'NN'), ('gag', 'NN'), ('first', 'RB'), ('film', 'NN')]",1
"[('smoke', 'NN'), ('sex', 'NN'), ('nt', 'NN'), ('know', 'VBP'), ('ve', 'NN'), ('never', 'RB'), ('look', 'VBP')]",0
"[('s', 'JJ'), ('shagadel', 'NN'), ('babi', 'NN')]",1
"[('austin', 'JJ'), ('power', 'NN'), ('spi', 'NN'), ('shag', 'JJ'), ('lightheart', 'NN'), ('entertain', 'NN'), ('suppli', 'JJ'), ('ton', 'NN'), ('laugh', 'NN')]",1
"[('uggghhhh', 'JJ'), ('funni', 'NN'), ('s', 'NN'), ('depress', 'NN')]",-1
"[('funniest', 'JJS'), ('joke', 'NN'), ('1990', 'CD')]",1
"[('anoth', 'DT'), ('funni', 'JJ'), ('entri', 'NN'), ('seri', 'NN'), ('actual', 'JJ'), ('favorit', 'NN')]",1
"[('hilari', 'NN')]",1
"[('impress', 'JJ'), ('action', 'NN'), ('sequenc', 'NN'), ('let', 'VBD'), ('almost', 'RB'), ('everyth', 'JJ'), ('els', 'NNS')]",-1
"[('dead', 'JJ'), ('presid', 'NN')]",0
"[('excel', 'NN'), ('cinematographyfun', 'NN'), ('remak', 'NN')]",1
"[('extrem', 'NN'), ('sportsextrem', 'NN'), ('dud', 'NN')]",0
"[('gopro', 'NNS'), ('red', 'JJ'), ('bull', 'NN'), ('decid', 'NNS'), ('make', 'VBP'), ('film', 'NN')]",0
"[('watch', 'NN'), ('origin', 'VBP'), ('one', 'CD'), ('instead', 'RB')]",-1
"[('nonsens', 'NNS'), ('plot', 'NN'), ('accompani', 'VBP'), ('visual', 'JJ'), ('splendor', 'NN'), ('world', 'NN'), ('s', 'NN'), ('extrem', 'NN'), ('corner', 'NN')]",-1
"[('point', 'NN'), ('broken', 'NNS')]",0
"[('worst', 'JJS'), ('remak', 'NN'), ('ever', 'RB')]",-1
"[('s', 'NN'), ('almost', 'RB'), ('though', 'IN'), ('made', 'VBN'), ('terribl', 'NN'), ('movi', 'NN'), ('purpos', 'NN')]",-1
"[('pointless', 'NN'), ('break', 'NN')]",-1
"[('pointless', 'NN'), ('retread', 'NN')]",-1
"[('terribl', 'NN'), ('film', 'NN')]",-1
"[('disappoint', 'NN')]",-1
"[('craptacular', 'NN')]",-1
"[('dire', 'NN'), ('far', 'RB'), ('seriou', 'JJ'), ('remak', 'NN')]",0
"[('110', 'CD'), ('bewar', 'JJ'), ('garbag', 'NN')]",-1
"[('s', 'JJ'), ('black', 'JJ'), ('eye', 'NN'), ('fan', 'NN'), ('origin', 'NN'), ('might', 'MD'), ('given', 'VBN'), ('disast', 'VB'), ('chanc', 'NN')]",-1
"[('pointless', 'RB'), ('hollow', 'JJ'), ('budget', 'NN'), ('s', 'NN'), ('expand', 'VBP'), ('person', 'NN'), ('energi', 'NN'), ('gone', 'VBN')]",-1
"[('probabl', 'NN'), ('worst', 'JJS'), ('remak', 'NN'), ('ever', 'RB')]",-1
"[('aw', 'NN'), ('movi', 'NNS'), ('disgrac', 'VBP'), ('origin', 'NN')]",-1
"[('terribl', 'NN'), ('crappi', 'NN'), ('remak', 'NN'), ('awesom', 'NN'), ('classic', 'JJ'), ('film', 'NN')]",-1
"[('storywis', 'NN'), ('mediocr', 'NN'), ('movi', 'NN'), ('stunt', 'NN'), ('sceneri', 'VBD'), ('make', 'VBP'), ('1', 'CD'), ('hour', 'NN'), ('45', 'CD'), ('minut', 'NN'), ('worth', 'NN'), ('watch', 'VBP'), ('us', 'PRP'), ('enjoy', 'VB'), ('sort', 'JJ'), ('thing', 'NN')]",0
"[('horribl', 'NN'), ('movi', 'NN')]",-1
"[('empti', 'NN')]",-1
"[('awesom', 'NN')]",1
"[('intellig', 'NN'), ('matur', 'NN'), ('batman', 'NN'), ('cartoon', 'NN')]",1
"[('batman', 'NN'), ('mask', 'NN'), ('underr', 'JJ'), ('classic', 'JJ')]",1
"[('greatest', 'JJS'), ('anim', 'NN'), ('batman', 'NN'), ('film', 'NN')]",1
"[('along', 'IN'), ('tim', 'JJ'), ('burton', 'NN'), ('s', 'NN'), ('batman', 'JJ'), ('return', 'NN'), ('best', 'JJS'), ('batman', 'NN'), ('movi', 'NN'), ('date', 'NN')]",1
"[('like', 'IN'), ('brilliant', 'JJ'), ('fourpart', 'NN'), ('episod', 'VBZ'), ('seri', 'JJ'), ('lot', 'NN'), ('person', 'NN'), ('wound', 'IN'), ('reveal', 'NN'), ('joker', 'NN'), ('boot', 'NN')]",1
"[('like', 'IN'), ('first', 'JJ'), ('two', 'CD'), ('batman', 'NN'), ('movi', 'NN'), ('definit', 'NN'), ('must', 'MD'), ('see', 'VB')]",1
"[('first', 'RB'), ('great', 'JJ'), ('anim', 'JJ'), ('batman', 'NN'), ('movi', 'NN')]",1
"[('walk', 'NN'), ('edg', 'NN'), ('abyss', 'NN'), ('everi', 'NN'), ('night', 'NN')]",1
"[('blackest', 'JJS'), ('night', 'NN')]",0
"[('favorit', 'NN'), ('batman', 'NN'), ('movi', 'NN')]",1
"[('way', 'NN'), ('batman', 'NN'), ('s', 'VBD'), ('origin', 'NN'), ('meant', 'NN'), ('told', 'VBD')]",1
"[('measur', 'NN')]",1
"[('absolut', 'JJ'), ('classic', 'JJ'), ('best', 'JJS'), ('batman', 'NN'), ('movi', 'NN'), ('far', 'RB')]",1
"[('aww', 'RB'), ('yeah', 'PRP'), ('one', 'CD'), ('best', 'JJS')]",1
"[('amaz', 'JJ'), ('batman', 'NN'), ('movi', 'NN')]",1
"[('best', 'RBS'), ('romant', 'NN'), ('film', 'NN'), ('ve', 'NN'), ('ever', 'RB'), ('seen', 'VBN')]",1
"[('absolut', 'JJ'), ('batman', 'NN'), ('anim', 'IN'), ('movi', 'JJ'), ('time', 'NN')]",1
"[('still', 'RB'), ('classic', 'JJ')]",1
"[('certain', 'JJ'), ('advantag', 'NN'), ('sturdi', 'NN'), ('cranium', 'NN'), ('master', 'NN'), ('bruce', 'NN')]",0
"[('best', 'JJS'), ('portray', 'NN'), ('dark', 'NN'), ('knight', 'VBD')]",1
"[('well', 'RB'), ('made', 'VBN'), ('matur', 'NN'), ('entertain', 'NN')]",1
"[('batman', 'NN'), ('mask', 'NN'), ('phantasm', 'NN'), ('nt', 'JJ'), ('see', 'NN'), ('appeal', 'NN')]",-1
"[('best', 'JJS'), ('batman', 'NN'), ('movi', 'NN'), ('time', 'NN')]",1
"[('great', 'JJ'), ('anim', 'NN'), ('seri', 'NN')]",1
